P.ESCONDIDO,AEROMEXICO,AM 2546,16:00,A TIEMPO,S/D
ACAPULCO,AEROMEXICO,AM 1300,16:05,A TIEMPO,S/D
OAXACA,AEROMEXICO,AM 2048,16:05,A TIEMPO,S/D
TIJUANA,AEROMEXICO,AM 184,16:10,A TIEMPO,S/D
HERMOSILLO,AEROMEXICO,AM 712,16:10,A TIEMPO,S/D
ACAPULCO,VIVA,VB 1458,16:15,A TIEMPO,B
LA PAZ,AEROMEXICO,AM 366,16:15,A TIEMPO,S/D
MONTERREY,AEROMEXICO,AM 940,16:15,A TIEMPO,S/D
MONTERREY,VIVA,VB 1126,16:20,A TIEMPO,G
TEPIC,AEROMEXICO,AM 2032,16:20,A TIEMPO,S/D
S.LUIS POTOSI,AEROMEXICO,AM 1534,16:25,A TIEMPO,S/D
QUERETARO,AEROMEXICO,AM 2464,16:25,A TIEMPO,S/D
SACRAMENTO,VOLARIS,Y4 356,16:25,A TIEMPO,G
CANCUN,AEROMEXICO,AM 542,16:25,A TIEMPO,S/D
CD. JUAREZ,VIVA,VB 1006,16:30,A TIEMPO,G
HOUSTON IA,UNITED,UA 1025,16:30,A TIEMPO,J
SAO.PAULO,LATAM,JJ 8113,16:40,A TIEMPO,S/D
S.SALVADOR,AVIANCA,TA 431,16:50,A TIEMPO,J
TORONTO,AEROMEXICO,AM 616,16:50,A TIEMPO,S/D
C.D.CARMEN,AEROMEXICO,AM 818,16:50,A TIEMPO,S/D
MONTERREY,VIVA,VB 1352,16:55,A TIEMPO,B
VILLAHERMO,AEROMEXICO,AM 810,16:55,A TIEMPO,S/D
GUADALAJARA,AEROMEXICO,AM 244,17:00,A TIEMPO,S/D
SAO.PAULO,AEROMEXICO,AM 14,17:05,A TIEMPO,S/D
DALLAS,AMERICAN AIRLINES,AA 2351,17:05,A TIEMPO,J
TUXTLA,AEROMEXICO,AM 318,17:05,A TIEMPO,S/D
NEW YORK,AEROMEXICO,AM 404,17:05,A TIEMPO,S/D
TIJUANA,VIVA,VB 1242,17:10,A TIEMPO,B
S.FRANCISCO,UNITED,UA 1272,17:10,A TIEMPO,J
MANZANILLO,AEROMEXICO,AM 2572,17:10,A TIEMPO,S/D
P.VALLARTA,AEROMEXICO,AM 338,17:10,A TIEMPO,S/D
P.VALLARTA,VOLARIS,Y4 786,17:10,A TIEMPO,B
VERACRUZ,AEROMEXICO,AM 858,17:10,A TIEMPO,S/D
LEON/BAJIO,AEROMEXICO,AM 136,17:15,A TIEMPO,S/D
TAPACHULA,AEROMEXICO,AM 374,17:20,A TIEMPO,S/D
BOGOTA CO,AEROMEXICO,AM 708,17:20,A TIEMPO,S/D
OAXACA,VOLARIS,Y4 234,17:25,A TIEMPO,B
CANCUN,AEROMEXICO,AM 544,17:25,A TIEMPO,S/D
ACAPULCO,VOLARIS,Y4 756,17:30,A TIEMPO,B
MONTERREY,AEROMEXICO,AM 942,17:30,A TIEMPO,S/D
CHIHUAHUA,AEROMEXICO,AM 146,17:35,A TIEMPO,S/D
VANCOUVER,AEROMEXICO,AM 696,17:35,A TIEMPO,S/D
ACAPULCO,AEROMEXICO,AM 1348,17:40,A TIEMPO,S/D
S.FRANCISCO,AEROMEXICO,AM 664,17:40,A TIEMPO,S/D
OAXACA,AEROMEXICO,AM 2054,17:45,A TIEMPO,S/D
CANCUN,VIVA,VB 1014,17:50,A TIEMPO,G
MERIDA YUC,AEROMEXICO,AM 838Z,17:50,A TIEMPO,S/D
MADRID,AEROMEXICO,AM 1,17:55,A TIEMPO,S/D
GUADALAJARA,AEROMEXICO,AM 248Z,17:55,A TIEMPO,S/D
S.LUIS POTOSI,AEROMEXICO,AM 2536Z,17:55,A TIEMPO,S/D
AGUASCALIE,AEROMEXICO,AM 2584X,17:55,A TIEMPO,S/D
MINATITLAN,AEROMEXICO,AM 2524,18:05,A TIEMPO,S/D
MIAMI,AEROMEXICO,AM 428,18:05,A TIEMPO,S/D
PARIS-CDG,AEROMEXICO,AM 5,18:05,A TIEMPO,S/D
DURANGO,AEROMEXICO,AM 2600,18:10,A TIEMPO,S/D
GUADALAJARA,VIVA,VB 1066,18:15,A TIEMPO,B
SJ. D CABO,VOLARIS,Y4 338,18:15,A TIEMPO,B
TIJUANA,AEROMEXICO,AM 188,18:20,A TIEMPO,S/D
VERACRUZ,AEROMEXICO,AM 860,18:20,A TIEMPO,S/D
MONTERREY,VIVA,VB 1138,18:25,A TIEMPO,B
QUERETARO,AEROMEXICO,AM 2482,18:25,A TIEMPO,S/D
MONTERREY,AEROMEXICO,AM 948,18:25,A TIEMPO,S/D
AMSTERDAM,AEROMEXICO,AM 25,18:30,A TIEMPO,S/D
CHICAGO,AEROMEXICO,AM 682,18:30,A TIEMPO,S/D
PARIS-CDG,AIRFRANCE,AF 179,18:40,A TIEMPO,J
TAMPICO,AEROMEXICO,AM 2416,18:40,A TIEMPO,S/D
DUBAI,EMIRATES,EK 256,18:40,A TIEMPO,G
SAN JOSE CR,,Q6 4069,18:40,A TIEMPO,J
TIJUANA,VOLARIS,Y4 819,18:40,A TIEMPO,B
TAPACHULA,VOLARIS,Y4 828,18:45,A TIEMPO,B
ZIHUATANEJO,AEROMEXICO,AM 2454,18:50,A TIEMPO,S/D
CANCUN,AEROMEXICO,AM 550,18:55,A TIEMPO,S/D
MEXICALI,VOLARIS,Y4 556,18:55,A TIEMPO,B
HERMOSILLO,AEROMEXICO,AM 730,18:55,A TIEMPO,S/D
